SPECIES_ID,SPECIES_NAME,WEIGHT_PERCENT
529,,60.7789
2018,,10.3142
1924,,6.6704
2011,,5.9405
2005,,2.6022
438,,1.3946
604,,1.1606
226,,0.9907
136,,0.8293
449,,0.6379
127,,0.6376
1999,,0.6329
3,(2-methylpropyl)benzene (or isobutylbenzene),0.4387
194,,0.425
80,,0.4058
671,,0.3922
44,,0.3917
601,,0.3656
1929,,0.3234
51,,0.3182
25,,0.3045
89,,0.301
122,,0.2715
302,,0.2571
620,,0.2463
608,,0.2459
130,,0.2434
36,,0.2284
703,,0.2284
59,,0.2255
149,,0.1924
152,,0.1847
491,,0.1601
508,,0.1549
1976,,0.146
717,,0.1048
385,,0.104
138,,0.1007
592,,0.0914
499,,0.0827
248,,0.0696
30,,0.0673
514,,0.0649
1986,,0.0566
524,,0.0393
140,,0.0338
245,,0.0332
605,,0.0234
193,,0.0196
648,,0.0187
550,,0.0162
603,,0.0154
551,,0.0153
199,,0.0025
